uri,schema_url,schema_email,geo_long,schema_telephone,geo_lat,om_capacidadPersonas,rdfs_label,schema_address_postalCode,schema_address_addressCountry,schema_address_addressLocality,schema_address_streetAddress
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/26-perhaps,,,-6.375211,+34 927289547,39.472006,,Perhaps,10002,ES,Cáceres,"Plaza Marrón, 7"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/25-only-one,,,-6.379798,,39.471885,,Only One,10001,ES,Cáceres,"Av. Virgen de Guadalupe, 5"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/29-puerta-de-merida,,encuadernacionroma@gmail.com,-6.37175,+34 927261068,39.472223,17 pax,Puerta de Mérida,10003,ES,Cáceres,"Calle Puerta de Mérida, 10"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/28-pro-va-lo,http://www.provalo.es,pedro.adolfo.arias.casares@gmail.com,-6.378097,6.33949332E8,39.462741,,Pro-va-lo,10003,ES,Cáceres,"Plaza Mayor, 20 Izq. "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/27-potosi-vinoteca,,,-6.379318,+34 927212141,39.462911,,Potosí Vinoteca,10005,ES,Cáceres,"Avenida Isabel de Moctezuma, 25"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/30-taperia-casa-don-fernando,http://www.casadonfernando.com,info@casadonfernando.com,-6.371623,+34 927627176,39.475231,40 pax,Tapería Casa Don Fernando,10003,ES,Cáceres,"Plaza Mayor, 30"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/31-taperia-hornos-25,http://www.taperiahornos25.com,jfgcordero@msn.com,-6.372046,927235906-646600752,39.471786,45 pax,Tapería Hornos 25,10003,ES,Cáceres,"Calle Hornos, 25 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/3-alfonso-ix-hotel,http://www.hotelalfonsoix.com,info@hotelalfonsoix.com,-6.373581,+34 927246400,39.474529,,Alfonso IX (Hotel),10004,ES,Cáceres,"Moret, 20-Parras, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/33-taperia-yuste-hotel-nh-palacio-de-oquendo,http://www.nh-hoteles.es,nhcollectionpalaciodeoquendo@nh-hotels.com,-6.372855,+34 927215800,39.473573,60 pax,Tapería Yuste (Hotel NH Palacio de Oquendo),10003,ES,Cáceres,"Plaza de San Juan, 11"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/32-taperia-los-ibericos,,marrajo76@hotmail.com,-6.373009,+34 637443137,39.475162,,Tapería los Ibéricos,10003,ES,Cáceres,"Paneras, 14"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/34-vina-grande,,adriancancho@gmail.com,-6.378814,9.27626903E8,39.471477,,Viña Grande,10001,ES,Cáceres,"Calle General Yagüe, 7"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/35-bar-poppy-,,poppymontse@gmail.com,-6.372627,9.27215613E8,39.476032,,Bar Poppy ,10003,ES,Cáceres,"Plaza de la Concepción, 19"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/38-el-gran-cafe,http://www.elgrancafe.es,elgrancafe@gmail.com,-6.378998,9.27249997E8,39.470827,48 pax,El Gran Café,10001,ES,Cáceres,"Avenida San Pedro de Alcántara, 6"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/36-centro-de-servicios-al-transporte-i-t-v-,,,-6.373254,+34 927238077,39.436276,48 pax,Centro de Servicios al Transporte (I.T.V.),10003,ES,Cáceres,"Carretera de Mérida, Km. 558"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/37-ciudad-deportiva-,,,-6.371134,+34 927244211,39.464163, 60 pax,Ciudad Deportiva ,10003,ES,Cáceres,"Avenida del Brocense, s/n. "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/4-asador-la-tahona,,asadorlatahona@gmail.com,-6.37402,+34 620389991,39.473653,78 pax,Asador La Tahona,10004,ES,Cáceres,"Calle Felipe Uribarri, 4"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/39-el-pirata-bar,,info@restauranteelpato.com,-6.371732,9.2724873E8,39.475365,45-50 pax,El Pirata Bar,10003,ES,Cáceres,"Calle General Ezponda, 2"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/40-hospital-san-pedro-de-alcantara,,,-6.36773,+34 927243312,39.465401,80 pax,Hospital San Pedro de Alcántara,10002,ES,Cáceres,"Avenida de Pablo Naranjo, s/n"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/41-la-taberna-de-santi,http://www.latabernadesanti.com,,-6.380213,+34 927220032,39.469926,16 pax,La Taberna de Santi,10001,ES,Cáceres,"Calle Santa Joaquina de Vedruna, 11"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/43-medas-la-estacion,,,-6.385474,+34 927217134,39.460977,28 pax,Medas La Estación,10005,ES,Cáceres,"Estación de Ferrocaril Avenida de Alemania, s/n"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/42-la-teteria-hotel-la-bohême,http://www.hotellaboheme.com,contacto@hotellaboheme.com,-6.370977,9.27217351E8,39.475737,,La Teteria (Hotel la Bohême),10003,ES,Cáceres,"Plaza Mayor, 5"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/44-psicopompo,,,-6.375262,+34 666449314,39.472149,,Psicopompo,10003,ES,Cáceres,"Plaza Marrón, 12"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/47-burger-king,http://www.burgerking.es,bkgomezbecerra@gmail.com,-6.379284,+34 927245464,39.469851,80 pax,Burger King,10001,ES,Cáceres,"Calle Gómez Becerra, 2 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/45-servicio-al-viajero,,,-6.382619,+34 927240162,39.460001,40 pax,Servicio al Viajero,10005,ES,Cáceres,"Calle Túnez, 1"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/46-sal-y-pimienta,,,-6.378097,9.27216997E8,39.462741,80 pax,Sal y Pimienta,10005,ES,Cáceres,Calle de Caupolicán. 1
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/48-burger-king-,http://www.burgerking.es,,-6.38871,+34 927231187,39.468162,100 pax,Burger King ,10005,ES,Cáceres,"Calle Londres,1"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/5-camelot-cafes-y-tapas,,agustinpajares30@gmail.com,-6.389249,+34 617519391,39.468686,,Camelot Cafés y Tapas,10005,ES,Cáceres,"Londres, 26"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/49-foodie,,correobelleart@gmail.com,-6.373502,+34 686244000,39.472306,,Foodie,10003,ES,Cáceres,"Calle Donoso Cortés, 2"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/52-burger-king,http://www.burgerking.es,bkmejostilla@tartagal.ws,-6.367992,9.2723646E8,39.490807,50 pax,Burger King,10003,ES,Cáceres,C/Emilio Cardenal Herrera-Esquina José de Espronceda
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/50-mcdonald's,,caceres.276@mcdesp.com,-6.3952,+34 927629116,39.468475,185 pax,McDonald's,10005,ES,Cáceres,Ronda Norte-Montesol
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/51-new-golden,http://www.newgolden.es,info@newgolden.es,-6.378558,+34 927043273,39.467618,,New Golden,10005,ES,Cáceres,"Avenida Antonio Hurtado, 6 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/53-meson-alcazaba,,,-6.372074,+34 927223663,39.475501,26 pax,Mesón Alcazaba,10003,ES,Cáceres,"Calle General Ezponda, 3"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/54-meson-del-jamon-,,,-6.379809,+34 927221017,39.471887,36 pax,Mesón del Jamón ,10001,ES,Cáceres,"Avenida Virgen de Guadalupe, 5"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/55-meson-el-encinar,,,-6.372225,+34 927248531 ,39.47477,110 pax ,Mesón El Encinar,10003,ES,Cáceres,"Plaza Mayor, 6 "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/56-meson-la-dehesa,,,-6.386109,+34 927234269,39.455114,40 pax,Mesón La Dehesa,10002,ES,Cáceres,"Avenida de Badajoz, s/n"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/59-meson-mas-cachito,,hosteleriasolcha@hotmail.com,-6.380384,+34 927216743,39.471995,16 pax,Mesón Más Cachito,10001,ES,Cáceres,"Calle San Juan de Dios, 3"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/57-meson-los-arcos,,,-6.371178,+34 927245145,39.475556,28 pax,Mesón Los Arcos,10003,ES,Cáceres,"Plaza Mayor, 22"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/61-domino's-pizza,http://dominospizza.es,dominospizzacaceres@hotmail.com,-6.378019,+34 927211333,39.467112,28 pax,Domino's Pizza,10002,ES,Cáceres,"Avenida de Antonio Hurtado, 10"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/60-meson-orense,,,-6.378782,,39.471502,48 pax,Mesón Orense,10001,ES,Cáceres,"Calle General Yagüe, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/6-cerveceria-100-montaditos,http://www.100montaditoscc.com,,-6.3795,927 21 36 91,39.470811,,Cervecería 100 Montaditos,10001,ES,Cáceres,"San Pedro de Alcántara, 7"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/62-piccola-italia-ristorante-pizzeria,http://www.piccolaitalia.co/,,-6.379871,927 20 11 45,39.455142,,Piccola Italia Ristorante Pizzeria,10005,ES, Cáceres,"Calle Córdoba, 16, "
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/63-pizza-movil,http://www.pizzamovil.es,,-6.383217,9.27629474E8,39.463216,,Pizza Móvil,10005,ES,Cáceres,"Avenida de Alemania, 46"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/64-pizzeria-teleremo,,,-6.372538,+34 927220838,39.474611,,Pizzería Teleremo,10003,ES,Cáceres,"Calle Pintores, 20"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/65-telepizza,http://www.telepizza.es,rigalpizzacc@wanadoo.es,-6.371859,+34 927625625,39.475044,60 pax,Telepizza,10003,ES,Cáceres,"Plaza Mayor, 12"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/8-la-andaluza,http://www.laandaluzalowcost.com,,-6.380779,654373734-927240478,39.469848,30 pax,La Andaluza,10001,ES,Cáceres,"Calle Santa Joaquina de Vedruna, 6"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/7-el-requete,,rubenblanco@telefonica.net,-6.371463,+34 927260383,39.475348,,El Requeté,10003,ES,Cáceres,"Plaza Mayor, 27"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/66-vadepizza,,,-6.385699,927 629 955-927 626 410,39.467502,,Vadepizza,10001,ES,Cáceres,"Avda. Virgen de Guadalupe, 43"
http://opendata.caceres.es/recurso/turismo/establecimientos/CafeBar/9-la-cacharreria,,lacacharreria@live.com,-6.371255,+34 927030723,39.473529,70 pax,La Cacharrería,10003,ES,Cáceres,"Calle Orellana, 1"
